Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.45287","19.54104","10.90000"
"0.45356","19.54409","10.92000"
"0.45449","19.55187","10.94000"
"0.45558","19.57200","10.96000"
"0.45665","19.59760","10.98000"
"0.45751","19.61716","11.00000"
"0.45811","19.62233","11.02000"
"0.45871","19.61708","11.04000"
"0.45955","19.61753","11.06000"
"0.46048","19.63413","11.08000"
"0.46137","19.65642","11.10000"
"0.46224","19.67496","11.12000"
"0.46293","19.68611","11.14000"
"0.46360","19.68938","11.16000"
"0.46445","19.69396","11.18000"
"0.46549","19.70966","11.20000"
"0.46656","19.73358","11.22000"
"0.46754","19.75565","11.24000"
"0.46820","19.76576","11.26000"
"0.46878","19.76220","11.28000"
"0.46958","19.75947","11.30000"
"0.47050","19.77180","11.32000"
"0.47136","19.79213","11.34000"
"0.47223","19.80914","11.36000"
"0.47297","19.82195","11.38000"
"0.47359","19.82681","11.40000"
"0.47437","19.82890","11.42000"
"0.47538","19.84053","11.44000"
"0.47648","19.86353","11.46000"
"0.47754","19.88854","11.48000"
"0.47829","19.90383","11.50000"
"0.47886","19.90275","11.52000"
"0.47959","19.89672","11.54000"
"0.48050","19.90339","11.56000"
"0.48137","19.92160","11.58000"
"0.48224","19.93935","11.60000"
"0.48302","19.95315","11.62000"
"0.48364","19.95908","11.64000"
"0.48439","19.95987","11.66000"
"0.48537","19.96917","11.68000"
"0.48646","19.99164","11.70000"
"0.48753","20.01635","11.72000"
"0.48831","20.03171","11.74000"
"0.48885","20.03111","11.76000"
"0.48951","20.02282","11.78000"
"0.49041","20.02560","11.80000"
"0.49130","20.04348","11.82000"
"0.49216","20.06278","11.84000"
"0.49299","20.07739","11.86000"
"0.49366","20.08516","11.88000"
"0.49437","20.08681","11.90000"
"0.49534","20.09383","11.92000"
"0.49643","20.11379","11.94000"
"0.49752","20.13800","11.96000"
"0.49838","20.15519","11.98000"
"0.49893","20.15713","12.00000"
"0.49953","20.14763","12.02000"
"0.50040","20.14624","12.04000"
"0.50132","20.16213","12.06000"
"0.50219","20.18238","12.08000"
"0.50305","20.19796","12.10000"
"0.50372","20.20712","12.12000"
"0.50439","20.20836","12.14000"
"0.50528","20.21206","12.16000"
"0.50637","20.22831","12.18000"
"0.50749","20.25265","12.20000"
"0.50844","20.27275","12.22000"
"0.50903","20.27813","12.24000"
"0.50958","20.26867","12.26000"
"0.51037","20.26238","12.28000"
"0.51129","20.27291","12.30000"
"0.51215","20.29238","12.32000"
"0.51305","20.30999","12.34000"
"0.51378","20.32264","12.36000"
"0.51444","20.32613","12.38000"
"0.51529","20.32822","12.40000"
"0.51635","20.34118","12.42000"
"0.51744","20.36359","12.44000"
"0.51842","20.38413","12.46000"
"0.51906","20.39189","12.48000"
"0.51959","20.38375","12.50000"
