Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.62040","8.75829","12.44000"
"0.62125","8.77636","12.46000"
"0.62233","8.79300","12.48000"
"0.62359","8.81266","12.50000"
"0.62485","8.83668","12.52000"
"0.62579","8.86160","12.54000"
"0.62653","8.88097","12.56000"
"0.62745","8.89592","12.58000"
"0.62847","8.91212","12.60000"
"0.62952","8.93064","12.62000"
"0.63049","8.95071","12.64000"
"0.63132","8.96969","12.66000"
"0.63233","8.98629","12.68000"
"0.63354","9.00460","12.70000"
"0.63480","9.02730","12.72000"
"0.63581","9.05223","12.74000"
"0.63653","9.07291","12.76000"
"0.63740","9.08786","12.78000"
"0.63843","9.10325","12.80000"
"0.63947","9.12181","12.82000"
"0.64050","9.14204","12.84000"
"0.64135","9.16183","12.86000"
"0.64229","9.17899","12.88000"
"0.64347","9.19692","12.90000"
"0.64474","9.21922","12.92000"
"0.64585","9.24452","12.94000"
"0.64661","9.26678","12.96000"
"0.64743","9.28316","12.98000"
"0.64844","9.29817","13.00000"
"0.64948","9.31596","13.02000"
"0.65052","9.33590","13.04000"
"0.65138","9.35575","13.06000"
"0.65225","9.37327","13.08000"
"0.65338","9.39052","13.10000"
"0.65464","9.41160","13.12000"
"0.65584","9.43618","13.14000"
"0.65667","9.45988","13.16000"
"0.65745","9.47770","13.18000"
"0.65844","9.49247","13.20000"
"0.65947","9.50971","13.22000"
"0.66054","9.52949","13.24000"
"0.66145","9.54990","13.26000"
"0.66229","9.56806","13.28000"
"0.66336","9.58472","13.30000"
"0.66458","9.60427","13.32000"
"0.66581","9.62796","13.34000"
"0.66674","9.65204","13.36000"
"0.66751","9.67138","13.38000"
"0.66848","9.68684","13.40000"
"0.66950","9.70349","13.42000"
"0.67054","9.72259","13.44000"
"0.67146","9.74260","13.46000"
"0.67228","9.76067","13.48000"
"0.67329","9.77667","13.50000"
"0.67453","9.79553","13.52000"
"0.67580","9.81923","13.54000"
"0.67682","9.84433","13.56000"
"0.67757","9.86512","13.58000"
"0.67846","9.88093","13.60000"
"0.67946","9.89678","13.62000"
"0.68049","9.91508","13.64000"
"0.68148","9.93514","13.66000"
"0.68230","9.95408","13.68000"
"0.68326","9.97085","13.70000"
"0.68446","9.98941","13.72000"
"0.68575","10.01227","13.74000"
"0.68685","10.03775","13.76000"
"0.68760","10.06037","13.78000"
"0.68843","10.07678","13.80000"
"0.68943","10.09197","13.82000"
"0.69047","10.10993","13.84000"
"0.69151","10.13022","13.86000"
"0.69236","10.15041","13.88000"
"0.69326","10.16770","13.90000"
"0.69442","10.18521","13.92000"
"0.69571","10.20715","13.94000"
"0.69688","10.23272","13.96000"
"0.69766","10.25639","13.98000"
"0.69845","10.27348","14.00000"
